filename,x,y
115-188-3005.png,188,3005
116-185-3007.png,185,3007
117-186-3006.png,186,3006
122-179-2992.png,179,2992
123-181-2993.png,181,2993
123-181-2994.png,181,2994
123-181-2995.png,181,2995
123-181-2996.png,181,2996
124-182-3003.png,182,3003
129-172-3008.png,172,3008
140-352-3711.png,352,3711
142-163-3009.png,163,3009
142-344-3712.png,344,3712
151-305-554.png,305,554
152-303-553.png,303,553
156-359-3710.png,359,3710
158-156-3010.png,156,3010
158-276-8645.png,276,8645
158-298-551.png,298,551
158-298-552.png,298,552
158-302-5636.png,302,5636
158-318-5637.png,318,5637
158-339-3713.png,339,3713
159-308-543.png,308,543
159-309-539.png,309,539
159-309-540.png,309,540
159-309-541.png,309,541
159-309-542.png,309,542
159-319-5638.png,319,5638
160-277-8644.png,277,8644
162-340-3303.png,340,3303
164-267-8646.png,267,8646
164-267-8647.png,267,8647
165-308-555.png,308,555
165-340-3304.png,340,3304
166-310-5652.png,310,5652
166-310-5653.png,310,5653
166-310-5654.png,310,5654
166-310-5655.png,310,5655
166-310-5656.png,310,5656
167-283-8643.png,283,8643
168-331-3292.png,331,3292
168-331-3293.png,331,3293
168-331-3306.png,331,3306
168-331-3307.png,331,3307
169-280-8632.png,280,8632
169-307-5651.png,307,5651
170-347-3290.png,347,3290
170-347-3291.png,347,3291
171-334-3302.png,334,3302
172-337-3305.png,337,3305
172-365-3709.png,365,3709
173-280-8631.png,280,8631
173-301-5630.png,301,5630
173-301-5631.png,301,5631
173-301-5632.png,301,5632
173-301-5633.png,301,5633
173-301-5634.png,301,5634
173-301-5635.png,301,5635
173-301-5642.png,301,5642
173-301-5643.png,301,5643
173-301-5644.png,301,5644
173-301-5647.png,301,5647
173-301-5648.png,301,5648
173-301-5650.png,301,5650
174-301-5640.png,301,5640
174-301-5641.png,301,5641
174-301-5645.png,301,5645
174-301-5646.png,301,5646
174-301-5649.png,301,5649
174-334-3714.png,334,3714
175-152-3011.png,152,3011
175-278-8627.png,278,8627
175-302-5639.png,302,5639
175-303-5629.png,303,5629
176-163-6097.png,163,6097
176-181-6098.png,181,6098
176-277-8628.png,277,8628
176-278-8629.png,278,8629
176-279-8625.png,279,8625
176-279-8626.png,279,8626
176-280-8630.png,280,8630
177-345-2978.png,345,2978
178-276-8618.png,276,8618
178-276-8619.png,276,8619
178-276-8620.png,276,8620
178-310-556.png,310,556
179-147-6096.png,147,6096
179-190-6519.png,190,6519
179-207-6520.png,207,6520
179-329-2979.png,329,2979
180-223-6521.png,223,6521
181-313-2980.png,313,2980
182-173-6518.png,173,6518
183-295-2981.png,295,2981
183-360-2977.png,360,2977
184-241-6522.png,241,6522
185-131-6095.png,131,6095
185-278-2982.png,278,2982
185-287-5657.png,287,5657
185-287-5658.png,287,5658
186-156-6517.png,156,6517
186-177-6789.png,177,6789
186-365-7867.png,365,7867
187-262-2983.png,262,2983
187-366-7868.png,366,7868
188-280-900.png,280,900
190-281-901.png,281,901
190-366-7869.png,366,7869
190-369-3708.png,369,3708
191-330-3715.png,330,3715
192-151-3012.png,151,3012
192-310-557.png,310,557
193-140-6516.png,140,6516
193-282-902.png,282,902
194-115-6094.png,115,6094
194-364-7847.png,364,7847
194-364-7848.png,364,7848
194-364-7849.png,364,7849
194-364-7850.png,364,7850
194-377-2976.png,377,2976
195-163-6788.png,163,6788
196-275-898.png,275,898
196-275-899.png,275,899
196-286-878.png,286,878
196-286-879.png,286,879
196-286-880.png,286,880
196-286-881.png,286,881
196-286-882.png,286,882
196-286-894.png,286,894
200-125-6515.png,125,6515
200-364-3702.png,364,3702
201-210-3532.png,210,3532
201-303-7989.png,303,7989
201-316-7988.png,316,7988
201-364-3694.png,364,3694
201-364-3695.png,364,3695
201-364-3696.png,364,3696
201-364-3700.png,364,3700
201-385-2975.png,385,2975
202-363-3684.png,363,3684
202-363-3685.png,363,3685
202-363-3686.png,363,3686
202-363-3687.png,363,3687
202-363-3688.png,363,3688
202-363-3692.png,363,3692
202-363-3693.png,363,3693
202-387-2973.png,387,2973
203-123-6513.png,123,6513
203-227-3275.png,227,3275
203-330-7987.png,330,7987
203-363-3701.png,363,3701
204-103-6093.png,103,6093
204-285-7990.png,285,7990
204-364-7870.png,364,7870
204-386-2974.png,386,2974
205-127-6514.png,127,6514
205-328-7537.png,328,7537
205-372-3707.png,372,3707
206-215-2256.png,215,2256
206-310-558.png,310,558
206-343-7986.png,343,7986
207-153-3013.png,153,3013
207-377-2971.png,377,2971
207-398-651.png,398,651
208-150-6787.png,150,6787
208-216-2257.png,216,2257
208-271-7991.png,271,7991
208-285-903.png,285,903
208-327-3716.png,327,3716
208-378-2972.png,378,2972
209-369-3706.png,369,3706
209-372-3705.png,372,3705
210-302-6407.png,302,6407
211-214-2258.png,214,2258
211-236-3287.png,236,3287
211-273-4303.png,273,4303
211-301-6406.png,301,6406
211-322-7536.png,322,7536
211-356-7985.png,356,7985
212-223-2255.png,223,2255
213-131-6991.png,131,6991
213-131-6992.png,131,6992
213-234-3288.png,234,3288
213-362-3703.png,362,3703
214-101-5822.png,101,5822
214-135-4704.png,135,4704
214-222-2254.png,222,2254
214-324-6745.png,324,6745
214-328-6747.png,328,6747
214-328-6748.png,328,6748
214-331-7538.png,331,7538
215-214-2246.png,214,2246
215-218-2242.png,218,2242
